Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Narmadha, J., Kaavya, G.N., Preethii, S.D.","57202111238; 57202109665; 57202114342","Analysis on electricity generation forecasting system",2017,"Proceedings - 2017 IEEE International Conference on Electrical, Instrumentation and Communication Engineering, ICEICE 2017",2017-December,"",,1,5,,,10.1109/ICEICE.2017.8191901,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047177061&partnerID=40&md5=3f6feed817ac3765a721657d25701638",Conference Paper,Final,,Scopus,2-s2.0-85047177061
"Scott, B., Xu, J., Zhang, J., Brown, A., Clark, E., Yuan, X., Yu, A., Williams, K.","57201057568; 18435578500; 57000680700; 57201066326; 57201058039; 56820491900; 57192543381; 55459250400","An interactive visualization tool for teaching ARP spoofing attack",2017,"Proceedings - Frontiers in Education Conference, FIE",2017-October,"",,1,5,,3,10.1109/FIE.2017.8190531,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043250365&partnerID=40&md5=7422985e8adca06dffda054feb43966e",Conference Paper,Final,,Scopus,2-s2.0-85043250365
[No author name available],[No author name available],"Proceedings - Frontiers in Education Conference, FIE",2017,"Proceedings - Frontiers in Education Conference, FIE",2017-October,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043295832&partnerID=40&md5=52e5bfba5a110705edca6166334f6ba4",Conference Review,Final,,Scopus,2-s2.0-85043295832
"Md Isa, N.E., Amir, A., Ilyas, M.Z., Razalli, M.S.","57200078638; 36170326400; 35760261900; 24825300000","The Performance Analysis of K-Nearest Neighbors (K-NN) Algorithm for Motor Imagery Classification Based on EEG Signal",2017,"MATEC Web of Conferences",140,"", 01024,,,,1,10.1051/matecconf/201714001024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039152282&partnerID=40&md5=acf9ab6a011fe30859ad832c68f3fa56",Conference Paper,Final,Open Access,Scopus,2-s2.0-85039152282
"George, D., Lehrach, W., Kansky, K., Lázaro-Gredilla, M., Laan, C., Marthi, B., Lou, X., Meng, Z., Liu, Y., Wang, H., Lavin, A., Phoenix, D.S.","8411588200; 12775587500; 57194146109; 23396966700; 57194153818; 22980042100; 57194152774; 57199096238; 57194157939; 57199100638; 57199096245; 57194145726","A generative vision model that trains with high data efficiency and breaks text-based CAPTCHAs",2017,"Science",358,"6368", eaag2612,,,,37,10.1126/science.aag2612,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032354846&partnerID=40&md5=539c9b1d08f66b9e1318190336b83f08",Article,Final,Open Access,Scopus,2-s2.0-85032354846
"Petinrin, O.O., Saeed, F., Al-Hadhrami, T.","57200245283; 54892561900; 55243400100","Voting-based ensemble method for prediction of bioactive molecules",2017,"2017 2nd International Conference on Knowledge Engineering and Applications, ICKEA 2017",2017-January,"",,118,122,,,10.1109/ICKEA.2017.8169913,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046456000&partnerID=40&md5=ba800dd9aaae5c66a74d9d0206f7f327",Conference Paper,Final,,Scopus,2-s2.0-85046456000
"Yousif, A., Niu, Z., Tarus, J.K., Ahmad, A.","56890764800; 23393033800; 56469465400; 56071589500","A survey on sentiment analysis of scientific citations",2017,"Artificial Intelligence Review",,"",,1,34,,10,10.1007/s10462-017-9597-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037615365&partnerID=40&md5=ae114082a24c0db4ffdd7d758a9287ad",[No source information available],Article in Press,,Scopus,2-s2.0-85037615365
"Li, F., Li, Z., Zhao, Z.","55650932000; 57201612802; 57201613331","Dynamic fuzzy machine learning",2017,"Dynamic Fuzzy Machine Learning",,"",,1,323,,,10.1515/9783110520651,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045369631&partnerID=40&md5=057e25878fb24f77eb66e5b0b826b46c",Book,Final,,Scopus,2-s2.0-85045369631
"Raahul, A., Sapthagiri, R., Pankaj, K., Vijayarajan, V.","57199324016; 57199324117; 57199324305; 55629354600","Voice based gender classification using machine learning",2017,"IOP Conference Series: Materials Science and Engineering",263,"4", 042083,,,,2,10.1088/1757-899X/263/4/042083,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037810087&partnerID=40&md5=ef3bcb8e9cd65de2434c4f6c358ad073",Conference Paper,Final,Open Access,Scopus,2-s2.0-85037810087
"Jahani, E., Sundsøy, P., Bjelland, J., Bengtsson, L., Pentland, A.S., de Montjoye, Y.-A.","55301247100; 36574302100; 7004463332; 36514232000; 7102755925; 35190387500","Erratum to: Improving official statistics in emerging markets using machine learning and mobile phone data(EPJ Data Science, 10.1140/epjds/s13688-017-0099-3)",2017,"EPJ Data Science",6,"1", 8,,,,2,10.1140/epjds/s13688-017-0106-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020424627&partnerID=40&md5=2b6d043e3fb177592464505a726a77ae",Erratum,Final,Open Access,Scopus,2-s2.0-85020424627
"Jahani, E., Sundsøy, P., Bjelland, J., Bengtsson, L., Pentland, A.S., de Montjoye, Y.-A.","55301247100; 36574302100; 7004463332; 36514232000; 7102755925; 35190387500","Improving official statistics in emerging markets using machine learning and mobile phone data",2017,"EPJ Data Science",6,"1", 3,,,,5,10.1140/epjds/s13688-017-0099-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019244546&partnerID=40&md5=327d83cbc6c3e5d0f87e2f7c978b8db2",Article,Final,Open Access,Scopus,2-s2.0-85019244546
"Zhu, X.X., Tuia, D., Mou, L., Xia, G.-S., Zhang, L., Xu, F., Fraundorfer, F.","55696622200; 15766793800; 55953611600; 12781686200; 8359720900; 9240823200; 8977349800","Deep Learning in Remote Sensing: A Comprehensive Review and List of Resources",2017,"IEEE Geoscience and Remote Sensing Magazine",5,"4", 8113128,8,36,,248,10.1109/MGRS.2017.2762307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040367775&partnerID=40&md5=6648745b3395a88bcbbf967bd0414d73",Review,Final,,Scopus,2-s2.0-85040367775
"Mao, W., Jiang, M., Wang, J., Li, Y.","35179980400; 57195368609; 56712030500; 57192879291","Online Extreme Learning Machine with Hybrid Sampling Strategy for Sequential Imbalanced Data",2017,"Cognitive Computation",9,"6",,780,800,,6,10.1007/s12559-017-9504-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027499067&partnerID=40&md5=ec7ec4d80f6687a5aed7518f437eae45",Article,Final,,Scopus,2-s2.0-85027499067
"Jiang, F.C.","50561725000","Study on a confidence machine learning method based on ensemble learning",2017,"Cluster Computing",20,"4",,3357,3368,,,10.1007/s10586-017-1085-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026834878&partnerID=40&md5=ace8b7401345d221a30d5ef50b9694db",Article,Final,,Scopus,2-s2.0-85026834878
"Chicco, D.","57194756598","Ten quick tips for machine learning in computational biology",2017,"BioData Mining",10,"1", 35,,,,62,10.1186/s13040-017-0155-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037741872&partnerID=40&md5=5538ba38a3c7a180bcd28cec1d9b88f6",Review,Final,Open Access,Scopus,2-s2.0-85037741872
